丢三落四|形容做事马虎粗心，不是丢了这个，就是忘了那个。
一接如旧|犹言一见如故。初次见面就象老朋友一样合得来。
手不停挥|手不停顿地挥写。形容不停地写作。
愚者千虑，或有一得|指愚钝人的许多思虑中总会有一些可取之处。常以谦指己见。
才高行厚|厚：不可轻薄，端谨。指才能高，品德端谨。
心不两用|指一个人的心思一时只能专注于一事。
安于盘石|象盘石一样安然不动。形容安定稳固。
艰难险阻|险阻：危险和障碍。前进道路上的困难、危险和障碍。
面折庭争|指直言敢谏。同“面折廷争”。
斜风细雨|斜风：旁侧吹来的小风；细雨：小雨。形容小的风雨。
乐尽哀生|犹言乐极生悲。欢乐到了极点，将转而发生悲伤的事。
石缄金匮|古代国家收藏重要文献的地方。同“石室金匮”。
剔抽秃揣|形容着急时眼睛迅速转动，或仔细打量别人的样子。同“剔抽禿刷”。
栋梁之材|栋：脊檩，正梁。能做房屋大梁的木材。比喻能担当国家重任的人才。
被山带河|靠着山，环着河。指形势险要的地方。
日计不足，岁计有余|每天算下来没有多少，一年算下来就很多了。比喻积少成多。也比喻凡事只要持之以恒，就能有很大收获。
月晕知风，础润知雨|月晕出现，将要刮风；础石湿润，就要下雨。比喻从某些征兆可以推知将会发生的事情。
杜门面壁|指闭门修养。
曲里拐弯|形容弯曲多。
马齿徒增|马的牙齿有多少，就可以知道它的年龄有多大。比喻自己年岁白白地增加了，学业或事业却没有什么成就。
纲提领挈|提起网纲，挈住裘领。比喻抓住要领。
虎尾春冰|踩着老虎尾巴，走在春天将解冻的冰上。比喻处境非常危险。
比肩叠踵|形容人多。叠踵，脚尖踩脚跟。
痌瘝在抱|痌瘝：病痛，比喻疾苦；在抱：在胸怀中。把人民的疾苦放在心里。
香草美人|旧时诗文中用以象征忠君爱国的思想。
隐然敌国|敌国：相当于一国。指对国家起举足轻重作用的人。同“隐若敌国”。
冷嘲热讽|冷：不热情，引伸为严峻；热：温度高，引伸为辛辣。用尖刻辛辣的语言进行讥笑和讽刺。
饿莩载道|莩：饿死的人。载道：满路。满路都是因饥饿而死的人的尸体。形容饥荒灾祸严重，人民大量死于饥寒的惨状。同“饿殍载道”、“饿殍满道”。
宽怀大度|胸怀宽阔，度量大。
俗谚口碑|俗：通俗。谚：谚语。口碑：指流传的口头俗语。广泛流传的通俗的谚语和俗语。
榆枋之见|榆枋，榆树与枋树。比喻狭小的天地。后用以比喻浅薄的见解。
精神抖擞|抖擞：振动，引伸为振作。形容精神振奋。
尤而效之|指明知其为错误而有意仿效之。
无人问津|问津：询问渡口。比喻没有人来探问、尝试或购买。
泥古不化|泥：拘泥，固执。拘泥于古代的成规或古人的说法而不知变通。
称家有无|称：适合，相符。与家庭经济情况相符。指办理婚、丧等事不可过奢或过俭。
扑地掀天|形容闹得很凶。
弃本逐末|弃：舍弃；逐：追求。古指丢弃农桑从事工商等其他事业。现比喻不抓根本环节，而只在枝节问题上下功夫。
行思坐忆|走着坐着都在想。形容时刻在思考着或怀念着。
小隙沉舟|隙：裂缝。指小小的裂缝可以使整个船只沉没。比喻小差错能酿成大灾害。
狡兔死，良狗烹|烹：烧煮。兔子死了，猎狗就被人烹食。比喻给统治者效劳的人事成后被抛弃或杀掉。
燕巢飞幕|燕子把窝做在帐幕上。比喻处境非常危险。同“燕巢于幕”。
狗彘不食其余|狗猪都不吃他剩下的东西。形容人极其卑鄙龌龊。
百孔千疮|比喻毛病很多，问题严重，已经到了难以收拾的地步。
背恩弃义|指辜负别人对自己的恩义。同“背恩忘义”。
避而不谈|躲避开而不肯说。指有意回避事实。
握蛇骑虎|比喻处境极险恶。
愚夫蠢妇|蒙昧无知之人。旧指小民百姓。
蹈矩践墨|指遵守规矩。同“蹈矩循规”。
飞将数奇|比喻能人而遭遇不佳。
敲冰戛玉|比喻乐声清润动听。
内省不疚|指自我反省，内心并不感到惭愧不安，即没有做有愧于心的事。
旧愁新恨|指久积心头和新近产生的愁怨。
蜜里调油|比喻非常亲密和好。
风流倜傥|风流：有才学而不拘礼法；倜傥：卓异，洒脱不拘。形容人有才华而言行不受世俗礼节的拘束。
不成器|器：指人的度量、才干。不能成为有用的器物。多用以指人气质平庸，不能有所成就，没有什么出息。有时也指不学好，自甘堕落。
才望高雅|形容人富有才学，享有很高的声望，不同流俗。
敬陈管见|敬陈：恭敬地陈述；管见：从管子里观看东西，所见极小，指浅陋的见解。毕恭毕敬地阐明自己浅陋的见解或建议。多用于自谦词。
通都大埠|四通八达的大都会、大城市。同“通都大邑”。
春山如笑|形容春天的山色明媚。
色授魂与|色：神色；授、与：给予。形容彼此用眉目传情，心意投合。
鸾交凤友|比喻优秀人物交友或才子佳人结为夫妻。
有口无心|嘴上说了，心里可没那样想。指不是有心说的。
迥不犹人|指卓然超绝，不同于人。
顾左右而言他|看着两旁的人，说别的话。形容无话对答，有意避开本题，用别的话搪塞过去。
打富济贫|打击豪绅、地主，贪官污吏，夺取其财物救济穷人。
琼林玉树|琼：美玉。泛指精美华丽的陈设。
吊胆提心|提心吊胆。
行百里者半于九十|走一百里路，走了九十里才算是一半。比喻做事越是接近成功越要认真对待。
断袖余桃|指男性之间的同性恋。同“断袖之癖”。
计绌方匮|计谋不足，方略匮竭。
守望相助|守望：防守了望。为了对付来犯的敌人或意外的灾祸，邻近各村落互相警戒，互相援助。
悬车告老|指告老引退，辞官家居。同“悬车致仕”。
无所不包|没有什么不被包括。形容包含的东西非常多。
言无二价|货物的价钱说一不二。
不媿下学|犹言不耻下问。
弊绝风清|弊：坏事；清：洁净。贪污、舞弊的事情没有了。形容坏事绝迹，社会风气良好。
扑杀此獠|扑杀：打死；獠：古时骂人的话。打死这个坏家伙。形容对某人憎恨之极。
瞻情顾意|因有交情而互相照应或通融。
拼死拼活|①不顾一切地斗争。②用尽全部精力。
称孤道寡|孤、寡：古代帝王自称。指自封为王。也比喻狂妄地以首领自居。
美意延年|美意：乐意；延年：处长寿命。对一切乐观的人，能够健康长寿。
事缓则圆|碰到事情不要操之过急，而要慢慢地设法应付，可以得到圆满的解决。
一字师|指订正一字之误读，即可为师。亦指更换诗文中一、二字的老师。
好天良夜|①美好的时节。②好时光，好日子。
蝇头小楷|像苍蝇头一般大小的楷体汉字。
涎言涎语|厚着脸皮胡言乱语，撒赖。
耐人寻味|耐：禁得起；寻味：探索体味。意味深长，值得人仔细体会琢磨。
一犬吠形|吠：狗叫；形：影子。一只狗看到影子叫起来，很多狗也跟着乱叫。比喻不了解事情真相，随声附和。
移天易日|易：更换。比喻野心家篡夺政权。
三差五错|泛指差错。常指意外的事故。
探骊得珠|骊：古指黑龙。在骊龙的颔下取得宝珠。原指冒大险得大利。后常比喻文章含义深刻，措辞扼要，得到要领。
雨迹云踪|云和雨的踪迹。比喻往事。
浮收勒索|用强迫手段额外征收。同“浮收勒折”。
有伤风化|伤：妨碍、败坏；风化：风俗教化。败坏、损害社会的风俗和教化。指对社会风俗、教育有不好影响的言行。
言若悬河|形容能言善辩，说话滔滔不绝。同“言类悬河”。
百喙难辞|喙：嘴，借指人的嘴。指纵有众多百口也很难解释。
如闻其声，如见其人|象听到他的声音，象见到他本人一样。形容对人物的刻画和描写非常生动逼真。
一饥两饱|犹言每天不能饱食。形容生活贫困。
公子王孙|旧时贵族、官僚的子弟。
兔起鹘落|鹘：打猎用的鹰一类的猛禽。兔子刚跳起来，鹘就飞扑下去。比喻动作敏捷。也比喻绘画或写文章迅捷流畅。
东荡西除|指四处征伐。
情不自已|犹情不自禁。感情激动得不能控制。强调完全被某种感情所支配。
杏脸桃腮|形容女子容貌美丽。
同出一辙|两种言论或行为完全一样。
仇人见面|眼红：激怒的样子。仇敌碰在一起，彼此更加激怒。
削铁如泥|切削铁器如同斩剁泥土一样。形容兵刃极其锋利。
克尽厥职|厥：他的。能够尽到职责，做好自己的工作。
假人辞色|指好言好语、和颜悦色地待人。
地利人和|地利：地理的优势；人和：得人心。表示优越的地理条件和群众基础。
鱼水相投|形容夫妇关系和好谐调如鱼水。
心如刀锯|犹心如刀割。内心痛苦得象刀割一样。
鸟革翚飞|革：鸟张翅；翚：羽毛五彩的野鸡。如同鸟儿张开双翼，野鸡展翅飞翔一般。旧时形容宫室华丽。
附势趋炎|指奉承、依附有权势的人。
顺水顺风|比喻运气好，做事顺利，没有阻碍。
明发不寐|明发：破晓，天色发亮；寐：昨。通宵未睡。
民穷财尽|人民穷困，国家财富也消耗完了。
狼子兽心|比喻凶暴的人用心残忍，有如野兽。
救亡图存|救：拯救；亡：危亡；图：谋求；存：生存。拯救国家的危亡，谋求国家的生存。
唯我独尊|原为佛家语，称颂释迦牟尼最高贵、最伟大。现指认为只有自己最了不起。形容极端自高自大。
神会心融|犹言融会贯通。把各方面的知识和道理融化汇合，得到全面透彻的理解。
纷纷扬扬|纷纷：众多；扬扬：飘荡的样子。形容雪花飘落的样子。
后继无人|继：继承。没有后人来继承前人的事业。
节用裕民|裕：富足。节约用度，使人民过富裕的生活。
淫言狎语|轻狎的言词；淫秽猥亵的言词。同“淫言媟语”。
三魂七魄|魂：旧指能离开人体而存在的精神；魄：旧指依附形体而显现的精神。道家语，称人身有“三魂七魄”。
怀珠抱玉|用以比喻怀藏才德。同“怀珠韫玉”。
行不更名，坐不改姓|表示自己是个硬汉，对别人毫无隐瞒。
见几而作|几：苗头；作：行动。指发现一点苗头就立刻采取措施。
不远万里|不以万里为远。形容不怕路途遥远。
无地自处|犹无地自容。形容非常羞愧。
围魏救赵|原指战国时齐军用围攻魏国的方法，迫使魏国撤回攻赵部队而使赵国得救。后指袭击敌人后方的据点以迫使进攻之敌撤退的战术。
金貂换酒|金貂：汉以后皇帝左右侍臣的冠饰。取下金冠换美酒。形容不拘礼法，恣情纵酒。
踽踽凉凉|落落寡合的样子；狷介的样子。也指独行的样子。
避军三舍|指退让和回避。一舍：三十里。
慈乌反哺|慈：奉养；慈乌：乌鸦的一种，相传能反哺其母；返哺：乌雏长大，衔食哺其母。比喻子女报答父母的养育之恩。
焦思苦虑|着急忧虑，苦心思考。
跨凤乘龙|比喻结成夫妻或成仙。
牧猪奴戏|对赌博的鄙称。
左右逢源|逢：遇到；源：水源。到处遇到充足的水源。原指赏识广博，应付裕如。后也比喻做事得心应手，非常顺利。
蓬头跣足|蓬：散乱。跣：赤脚。头发散乱，双脚赤裸。形容人衣冠不整，十分狼狈或困苦之状。亦作“披头跣足”、“蓬头赤脚”。
目无尊长|不把尊长放在眼里。形容狂妄无礼。
漏泄春光|原指柳叶首先透露春天到来的信息，后比喻男女私情泄露，或秘密被察觉。
避世墙东|指隐居于市井贩夫之中。
月坠花折|月亮落下，鲜花夭折。比喻美女死亡。
思绪万千|思绪：思想的头绪。万千：极多。指思想的头绪相当多，思虑复杂多端。
亡魂失魄|魂、魄：旧指人身中离开形体能存在的精神为魂，依附形体而显现的精神为魄。形容惊慌忧虑、心神不定、行动失常的样子。
闭阁自责|指关起门来自我反省。同“闭阁思过”。
乱七八糟|形容无秩序，无条理，乱得不成样子。
指破迷团|指点解说，破除疑问。
霜露之悲|对父母先祖的悲思。
荆钗布裙|荆枝作钗，粗布为裙。形容妇女装束朴素。
古稀之年|稀：少。指人到七十岁。
不知深浅|原意是不知道水的深浅。后多用以形容不懂得事情的利害。
以锥刺地|用锥子刺地来测量地的深浅。比喻见识浅陋，所知甚少。
桂折一枝|比喻登科及第。
降心俯首|指虚心下气，恭顺服从。
头没杯案|头伏在酒杯和桌子间。比喻尽情欢乐，不拘形迹。
依草附木|原指鬼神有所依凭，擅作威福。后比喻凭借他人势力，为非作歹。也比喻不能自立，依靠别人。
安坐待毙|坐着等死。指不积极想办法，坐等灭亡。
明见万里|对于外界或远方的情况，知道得很清楚。也比喻人有预见。
春风沂水|原意是大人和儿童在沂水洗个澡，在舞雩台上吹吹风。指放情自然，旷达高尚的生活乐趣。
更进一竿|更：再，又；竿：竹竿。又前进了一步。
警愦觉聋|发出很大的声音，使昏聩的人觉醒，耳聋的人感知。比喻用语言文字等唤醒糊涂麻木的人。
天之戮民|受天惩罚的人；罪人。亦作“天之僇民”。
冷眼旁观|冷眼：冷静或冷漠的眼光。指不参与其事，站在一旁看事情的发展。
云屯雨集|形容众多的人聚集在一起。
一网尽扫|犹一网打尽。比喻一个不漏地全部抓住或彻底肃清。
造次颠沛|流离失所，生活困顿。
含仁怀义|指有仁义之德。
诬良为盗|诬：诬陷。良：好人。指捏造事实，陷害好人。
贻笑后人|贻：留下；后人：后世的人。因为荒唐，而让后人耻笑，给后代留下话柄。
使蚊负山|使：派，令；负：背。派蚊子去背山。比喻力不胜任。
推聋妆哑|指装作不闻不问，什么都不知道。
瓦解冰泮|瓦器破碎，冰块融解。比喻失败、崩溃或消失。
以蠡测海|蠡：贝壳做的瓢。用贝壳来量海。比喻观察和了解很狭窄很片面。
力所不及|及：达到。凭自己的力量不能做到。
捱三顶四|形容人群拥挤，接连不断。
前赴后继|前面的冲上去了，后面的紧跟上来。形容不断投入战斗，奋勇冲杀向前。
删华就素|放弃荣华富贵而过简朴生活。
白首齐眉|犹白首相庄。指夫妇到老犹相敬爱。
胆战心寒|战：发抖。形容害怕之极。
瞒天过海|用欺骗的手段在暗地里活动。
垂头塌翅|形容受挫后萎靡不振的样子。
乡利倍义|趋向私利，违背正义。乡，通“向”。倍，通“背”。
百夫决拾|古谚语，意思是为将者善战，其士卒亦必勇敢无前。比喻凡事为首者倡导于前，则其众必起而效之。
胜友如云|胜友：良友。许多良友聚集一处。
相沿成习|依照相传下来的一套慢慢地成了习惯。
亦庄亦谐|形容既严肃又风趣。
捣虚撇抗|指乘虚攻击。
雨淋日晒|雨水淋浇，太阳曝晒。亦形容露天劳作或旅途的辛苦。
心绪恍惚|恍惚：神志不清，精神不集中。形容精神不集中或神志不清楚。
枯枝败叶|败：衰败。干枯的树枝，衰败的花叶。形容荒凉、破坏的样子。
高睨大谈|睨：视。眼睛看着上面，在发议论。形容举动言论气慨不凡。
燕舞莺啼|莺：黄鹂。燕子在飞舞，黄莺在鸣叫。形容春光明媚。
牛刀小试|牛刀：宰牛的刀；小试：稍微用一下，初显身手。比喻有大本领的人，先在小事情上略展才能。也比喻有能力的人刚开始工作就表现出才。
俗下文字|指为应付世事而写的平庸的应酬文章。
贵不召骄|指显贵的人尽管不希望自己染上骄恣专横的习气，但它仍然在不知不觉中滋长起来了。
奥妙无穷|奥：深奥。指其中不易为人所知而奇妙有趣之处极多。
杵臼之交|杵：舂米的木棒；臼：石臼。比喻交朋友不计较贫富和身分。
乳臭未干|臭：气味。身上的奶腥气还没有退尽。对年轻人表示轻蔑的说法。
玉减香消|比喻美人的消瘦、萎靡。同“玉减香销”。
先入之见|指在对某事物进行调查研究之前就形成或接受的看法。指成见。
不古不今|指事物不正常，古代现代都不曾有过。原讥讽人学无所得却故作诡异。后常比喻折衷。
虎口余生|老虎嘴里幸存下来的生命。比喻逃脱极危险的境地侥幸活下来。
千金一壸|比喻物虽轻贱，关键时得其所用，却十分珍贵。同“千金一瓠”。
言者无罪，闻者足戒|指提意见的人只要是善意的，即使提得不正确，也是无罪的。听取意见的人即使没有对方所提的缺点错误，也值得引以为戒。
枘凿方圆|枘、凿，榫头与卯眼。一方一圆，则无法投合。比喻不调协，扞格不入。
五十步笑百步|作战时后退了五十步的人讥笑后退了百步的人。比喻自己跟别人有同样的缺点错误，只是程度上轻一些，却毫无自知之明地去讥笑别人。
神情自若|自若：自然，不变常态。神情态度仍和原来一样。
累及无辜|累：带累，使受害。辜：罪。使受牵连；连累到没有罪过的人。
发扬蹈厉|原指周初《武》乐的舞蹈动作。手足发扬，蹈地而猛烈，象征太公望辅助武王伐纣时勇往直前的意志。后比喻精神奋发，意气昂扬。
偏听偏言|偏：只注重一方面。只听信一方面，指处理问题态度不公正，方法不妥当。
进退双难|比喻事情无法决定，因而难以行动。同“进退两难”。
身不由己|由：听从。身体不由自己作主。
触物兴怀|受到眼前景物的触动而产生某种情怀。
男尊女卑|尊：地位高；卑：低下。在封建社会里男子地位高，女子地位卑下。这是重男轻女的不平等封建礼教。
不以规矩，不能成方圆|比喻做事要遵循一定的法则。
祝鲠祝噎|古代帝王敬老、养老的表示：请年老致仕者饮酒吃饭，设置专人祷祝他们不哽不噎。同“祝哽祝噎”。
乌头白，马生角|比喻不可能出现的事。
托于空言|指寄托所怀于文词议论。同“托之空言”。
披星带月|顶着星月奔走。形容早出晚归或夜行。
遣兵调将|犹调兵遣将。亦作“遣将调兵”、“遣将征兵”。
神闲气静|指神气悠闲安静。同“神闲气定”。
孤形吊影|指孤单一人。
宁为玉碎，不为瓦全|宁做玉器被打碎，不做瓦器而保全。比喻宁愿为正义事业牺牲，不愿丧失气节，苟且偷生。
翻然悔悟|悔：悔恨；悟：觉悟。很快地醒悟过来。形容转变得很快。指思想完全转变，彻底醒悟。
抽薪止沸|薪：柴草；沸：沸腾。抽掉锅底下的柴火，使锅里的水不再翻滚。比喻从根本上解决问题。
狐朋狗友|泛指一些吃喝玩乐、不务正业的朋友。
系风捕景|①比喻不可能做到的事。②比喻不露形迹。亦作“系风捕影”。
只欠东风|一切都准备好了，只差东风没有刮起来，不能放火。比喻什么都已准备好了，只差最后一个重要条件了。
冰寒于水|冰比水冷。指后来居上。比喻学生胜过老师。
延津之合|指晋时龙泉、太阿两剑在延津会合的故事。后比喻因缘会合。同“延津剑合”。
枉物难消|指不义之财难于消受，反而招灾惹祸。
愤世疾邪|犹愤世嫉俗。
礼先壹饭|指在礼节上自己年岁稍长。壹饭，犹言一顿饭，喻指极短的时间。也指在礼节上先有恩惠与人。
外方内圆|外方：外表有棱角，刚直；内圆：内心无棱角，圆滑。指人的外表正直，而内心圆滑。
宁为玉碎|宁做玉器被打碎，不做瓦器而保全。比喻宁愿为正义事业牺牲，不愿丧失气节，苟且偷生。
麻痹不仁|指对外界事物反应迟钝或没有感觉。
长揖不拜|揖、拜：旧时的拱手、磕头礼。对长者或尊者只弯腰行拱手礼，不跪拜磕头。旧时指相见时态度不恭，为人高傲。
心照情交|心意投合，相知有素的友谊。同“心照神交”。
道不同|走着不同道路的人，就不能在一起谋划。比喻意见或志趣不同的人就无法共事。
青蝇点素|青蝇：苍蝇，比喻进谗言的人；素：白色的生绢。苍蝇玷污素练。指小人用谗言诬害好人。
善骑者堕|惯于骑马的人常常会从马上摔下来。比喻善长某一技艺的人，往往因大意而招致失败。
忍尤含垢|遭受怨谤耻辱而忍耐着。
于心无愧|在心里没有什么可惭愧的。
计穷智短|计：计谋；穷：尽；智：智谋；短：缺少。计策用完了，才智也不够用了。形容已经想不出什么办法了。
鞭不及腹|及：到。原意是鞭子虽长，也不能打马肚子。比喻相隔太远，力量达不到。
弹丸脱手|比喻作诗圆润精美、敏捷流暢。
半死辣活|指死又死不了，活着又受罪。
拳拳在念|拳拳：恳切。在念：在思念之中。形容老是牵挂着。
说长论短|说长处，讲短处。形容议论别人的好坏是非。
攻守同盟|原指国与国之间订立盟约，战时彼此联合进攻或防卫。现多指坏人互相订约，为掩盖罪恶而一致行动。
纵虎出匣|放虎出笼。比喻放走强有力的敌人，贻患无穷。同“纵虎出柙”。
中庸之道|指不偏不倚，折中调和的处世态度。
诗书发冢|比喻口是心非、言行不一的伪君子作风。
添枝接叶|比喻接连不断地附加。
如饮醍醐|比喻使人思想上一下就通了。
六韬三略|《六韬》、《三略》：都是古代的兵书。后泛指兵书、兵法。
偷工减料|原指商人为了牟取暴利而暗中降低产品质量，削减工料。现也指做事图省事，马虎敷衍。
星霜屡移|星霜：星辰运转，一年循环一次，每年秋季降霜，因此以星霜指代年岁。表示岁月更换。
口尚乳臭|乳臭：奶腥气。嘴里还有奶腥味。表示对年轻人的轻视。
心头撞鹿|心里像有小鹿在撞击。形容惊慌或激动时心跳剧烈。
粮尽援绝|粮食用尽，援兵断绝。比喻战斗处于十分艰难的境地。
平头正脸|相貌端正或姿容千篇一律。
戴高帽儿|吹捧、恭维别人。同“戴高帽子”。
记功忘过|指记其功绩而略其小过。同“记功忘失”。
不为瓦全|宁做玉器被打碎，不做瓦器而保全。比喻宁愿为正义事业牺牲，不愿丧失气节，苟且偷生。
方头不律|形容人性格倔强、顽固。同“方头不劣”。
说二是二|说怎样就怎样，不能更改。
胡言汉语|犹言胡言乱语。指没有根据，不符实际的瞎说，或说胡话。
故土难离|故土：出生地，或过去住过的地方，这里指故乡、祖国。难于离开故乡的土地。形容对家乡或祖国有无限的眷恋之情。
猪卑狗险|比喻卑鄙阴险的人。
扣槃扪籥|比喻认识片面，未得要领。同“扣槃扪烛”。
移根换叶|比喻彻底变换处境。
重于泰山|比泰山还要重。形容意义重大。
推梨让枣|指兄弟友爱。
拾人涕唾|涕唾：鼻涕唾沫。比喻自己没有创见，只是抄袭别人的言论、见解。
画地成图|在地上画出地图，来说明山川河岳等地理形势。形容信手拈来，才能出众。
钻懒帮闲|指逢迎凑趣，耍弄乖巧。亦指逢迎凑趣，耍弄乖巧的人。
枉勘虚招|刑讯逼供，屈打成招。
一揽包收|指总揽一切。
无稽之言|没有根据、无从查证的话。
大名难居|指盛名之下不易自处
绚丽多彩|形容色彩华丽。
留有余地|比喻说话办事留下可以回旋的地方。
澈底澄清|指完全清楚，毫无遗漏。
井底虾蟆|即井蛙。
一夕一朝|一个晚上或一个早晨。形容很短的时间。同“一朝一夕”。
偃革为轩|指停息武备，修治文教。
秀才人情|秀才多数贫穷，遇有人情往来，无力购买礼物，只得裁纸写诗文。俗话说：秀才人情纸半张。表示馈赠的礼物过于微薄。
一字之师|改正一个字的老师。有些好诗文，经旁人改换一个字后更为完美，往往称改字的人为“一字师”或“一字之师”。
所向披靡|所向：指力所到达的地方；披靡：溃败。比喻力量所达到的地方，一切障碍全被扫除。
慢易生忧|慢：疏慢；易：轻易；忧：忧愁。疏慢轻易必然坏事，因而产生忧愁。
画虎不成反类狗|类：象。画老虎不成，却象狗。比喻模仿不到家，反而不伦不类。
蛇化为龙，不变其文|比喻无论形式上怎样变化，实质还是一样。
桃李无言，下自成蹊|古谚语。比喻实至名归。
重熙累洽|熙：光明；洽：谐和。指国家接连几代太平安乐。
不拘形迹|形容言谈举止无拘无束，自由自在。
头疼脑热|泛指一般的小病或小灾小难。
尺波电谢|波，水波。指人世短促，如波逝电闪。
俎樽折冲|指在会盟的席上或外交谈判中制胜对方。
公修公德，婆修婆德|指修德属个人，不得兼代。
路断人稀|路被隔断，行人稀少。形容某种灾害严重，以致路无行人。
亢龙有悔|亢：至高的；悔：灾祸。意为居高位的人要戒骄，否则会失败而后悔。后也形容倨傲者不免招祸。
人情冷暖|人情：指社会上的人情世故；冷：冷淡；暖：亲热。泛指人情的变化。指在别人得势时就奉承巴结，失势时就不理不睬。
祸福惟人|是祸是福均取决于人自身的所作所为。亦作“祸福由人”。
吴下阿蒙|吴下：现江苏长江以南；阿蒙：指吕蒙。居处吴下一隅的吕蒙。比喻人学识尚浅。
不知死活|形容不知利害，冒昧从事。
蛛丝马迹|从挂下来的蜘蛛丝可以找到蜘蛛的所在，从马蹄的印子可以查出马的去向。比喻事情所留下的隐约可寻的痕迹和线索。
计功受爵|衡量功绩而授予爵禄。受，授。
震耳欲聋|形容声音很大，耳朵都快震聋了。
分茅裂土|原指古代帝王分封诸侯时举行的仪式。后称分封诸侯。
扬扬得意|形容十分得意的样子。
辩口利辞|指善辩的口才，犀利的言辞。形容能言善辩。
诠才末学|低下的才能与肤浅的学识。多用作自谦之词。
以刑致刑|对重罪施以轻刑，则罪犯无所畏惧，其结果将导致不断用刑。
水尽山穷|穷：尽。山和水都到了尽头。比喻无路可走陷入绝境。
学剑不成|学习书法没学好，学习剑术也没学到手。指学习一无所成。
大放厥词|厥：其，他的；词：文辞，言辞。原指铺张词藻或畅所欲言。现用来指大发议论。
反躬自责|回过头来责备自己。
子曰诗云|子：指孔子；诗：指《诗经》；曰、云：说。泛指儒家言论。
乃文乃武|赞美人文、武兼备。见乃武乃文。
骈门连室|形容为数众多。
不失圭撮|圭撮：容量词，六栗为一圭，十圭为一撮。形容数量准确。
追奔逐北|追击败走的敌军。
镌心铭骨|镌：雕刻。意同“刻骨铭心”。形容永记不忘。
纡金曳紫|佩带金印紫绶。指身居高位。
期期艾艾|形容口吃的人吐辞重复，说话不流利。
高自位置|比喻自己把自己看得很了不起。
抱负不凡|抱负：远大的志向。指有远大的志向，不同一般。
熔于一炉|熔化在同一个炉内。比喻多种事物相互间结合紧密，浑然一体，难分难解。
六畜兴旺|六畜：牛、马、羊、猪、鸡、狗。指各种牲畜、家禽繁衍兴旺。
行远自迩|自：从；迩：近。走远路必须要从最近的一步走起。比喻做事情都得由浅入深，一步步前进。
马迹蛛丝|马蹄的痕迹，蜘蛛的细丝。比喻隐约可寻的痕迹和线索。
蚁附蝇集|形容趋附者之多。
年富力强|年富：未来的年岁多。形容年纪轻，精力旺盛。
仪态万方|仪态：姿态，容貌；万方：多方面。形容容貌、姿态各方面都很美。
特立独行|特：独特；立：立身。形容人的志行高洁，不同流俗。
人死留名|指人生前建立了功绩，死后可以传名于后世。
末路穷途|穷途：处境困窘。无路可走。比喻处境极端困难。
乐天知命|天：天意；命：命运。安于自己的处境，由命运安排。这是相信宿命论的人生观。
相逢狭路|在狭窄的道路上相遇。比喻仇人相遇，互不兼容。亦作“狭路相逢”。
穿红着绿|形容衣着鲜艳华丽。
骑鹤上维扬|比喻欲集做官、发财、成仙于一身，或形容贪婪、妄想。同“骑鹤上扬州”。
除患兴利|清除祸患，兴办有利的事业。
一动不如一静|没有把握或无益的事，还是不做为好。比喻多一事不如少一事。
欢声雷动|欢笑的声音象雷一样响着。形容热烈欢乎的动人场面。
引过自责|主动承担错误的责任并作自我批评。
箫韶九成|箫韶：虞舜时的乐章；九成：九章。指箫韶音乐奏了九章。
佳儿佳妇|指好儿子，好媳妇。
背本趋末|古代常以农业为本，手工、商贾为末。指背离主要部分，追求细微末节。
残民害理|残害百姓，违背天理。形容反动统治者所作所为的残忍不义。
飞蛾赴火|象蛾子扑火一样。比喻自找死路、自取灭亡。
潸然泪下|潸然：流泪的样子。形容眼泪流下来。
机不可失，失不再来|失：错过。指时机难得，必需抓紧。
辨日炎凉|古代传说中辩论太阳离地远近的故事。后以之形容兒童的聪明早慧。
扒耳搔腮|形容焦急而又无可奈何。
云谲波诡|谲：诡：怪异，变化。好象云彩和水波那样，形态不可捉摸。原形容房屋构造就象云彩、波浪一样千姿百态。后多形容事物变幻莫测。
见始知终|指看见事物的开始阶段就能预见到它的最终结果。
浩气长存|浩气：即正气，刚直正大的精神。浩然之气永远长存。
心上心下|形容心神不安。
飞灾横祸|意外的灾祸。
龙首豕足|犹言牛头不对马嘴。指对书义的解释与原旨相去甚远，风马牛不相及。
摘艳薰香|形容文辞华美。
凤骨龙姿|形容超凡的体格和仪态。
拈轻掇重|轻的重的都要拿。指要干的活很多。
鳏寡茕独|茕，无兄弟。泛指没有劳动力而又没有亲属供养的人。同“鳏寡孤独”。
良时美景|美好的时光和景物。同“良辰美景”。
囤积居奇|囤、居：积聚；奇：稀少的物品。把稀少的货物储藏起来。指商人囤积大量商品，等待高价出卖，牟取暴利。
异草奇花|原意是指希奇少见的花草。也比喻美妙的文章作品等。
夙世冤业|①前世的仇人。形容积怨极深。②昵称所钟爱的人。同“夙世冤家”。
有死无二|表示意志坚定，虽死不变。
大才榱盘|指有大才干的人。同“大才盘盘”。
浩气凛然|浩气：即正气，刚直正大的精神；凛然：严肃，令人敬畏的样子。浩然之气令人敬畏。
铁画银钩|画：笔画；钩：钩勒。形容书法刚键柔美。
一馈十起|馈：以食物送人，这里指吃饭。吃一顿饭要起来十次。形容事务繁忙。
亲临其境|临：到；境：境界，地方。亲自到了那个地方。
马空冀北|伯乐将冀北之良马搜选一空。比喻执政者善选贤才，无所遗漏。
